"station_id","longitude","latitude","numtrips.start","numtrips.stop","netflow","use","zip","adi_state_rank","adi_national_rank","food_min_dist","food_500","bus_min_dist","bus_500"
"ch319",-87.665939,41.932595,3603,3782,179,7385,60657,5.35714285714286,63,163.745753080268,62,1062.37954189481,0
"ch32",-87.65703,41.87464,4403,4060,-343,8463,60607,5.33333333333333,62.2777777777778,124.529666967259,14,614.918828338855,0
"ch320",-87.661501,41.872187,6733,6392,-341,13125,60607,5.33333333333333,62.2777777777778,303.863480215707,66,670.274441474228,0
"ch321",-87.626106,41.871962,12836,12777,-59,25613,60605,5.61111111111111,64.7222222222222,27.9661812207968,184,257.315378276418,2
"ch322",-87.594747,41.799568,6067,6153,86,12220,60615,5.76470588235294,67,18.7514839845556,69,2019.71296408912,0
"ch323",-87.654691,41.969517,2514,2764,250,5278,60640,5.26666666666667,61.2666666666667,25.2510707009984,106,317.934252915567,2
"ch324",-87.638742,41.93132,8270,10044,1774,18314,60614,5.82352941176471,67.2352941176471,222.124106880723,93,1203.6686594887,0
"ch325",-87.668365,41.973385,7581,7312,-269,14893,60660,5,59,26.342288696896,58,815.211253747496,0
"ch326",-87.667429,41.967096,4982,4598,-384,9580,60640,5.26666666666667,61.2666666666667,25.9921876814751,47,774.703284130759,0
"ch327",-87.653818,41.92154,10628,11202,574,21830,60614,5.82352941176471,67.2352941176471,21.2340089461222,102,381.723706238795,6
"ch328",-87.601334,41.788746,4668,4826,158,9494,60637,5.5,63.375,58.9652784943322,59,1009.70803723792,0
"ch329",-87.63625,41.932684,11793,11928,135,23721,60614,5.82352941176471,67.2352941176471,40.8587883941537,27,1400.08641671628,0
"ch33",-87.627844,41.877181,13814,13695,-119,27509,60602,5.94736842105263,68.2105263157895,36.3511310855542,451,45.925828096132,16
"ch330",-87.673308,41.946176,2561,2591,30,5152,60625,5.25,62,36.8704859601479,51,145.572137986374,4
"ch331",-87.648627,41.908537,11445,12528,1083,23973,60614,5.82352941176471,67.2352941176471,56.1448661425907,99,239.634384493103,2
"ch332",-87.648959,41.933666,7836,8758,922,16594,60614,5.82352941176471,67.2352941176471,54.8465383841978,247,361.231761415086,4
"ch333",-87.667252,41.907066,5939,5918,-21,11857,60642,5.82352941176471,67.1176470588235,16.221647368145,97,416.931901298104,2
"ch334",-87.639192,41.940775,16378,16610,232,32988,60657,5.35714285714286,63,119.565546976612,73,1182.06998634514,0
"ch335",-87.618034,41.831379,693,677,-16,1370,60616,5.82352941176471,67.1764705882353,44.3971647455215,39,648.118885696038,0
"ch336",-87.606755,41.809855,872,960,88,1832,60653,5.86666666666667,68.1333333333333,52.6311934944119,18,1005.63131410865,0
"ch337",-87.630931,41.896544,10727,9636,-1091,20363,60611,5.82352941176471,67.2352941176471,25.7078974517387,328,229.057728106958,2
"ch338",-87.619407,41.857611,8585,8370,-215,16955,60605,5.61111111111111,64.7222222222222,224.105710360026,23,766.003819553448,0
"ch339",-87.645143,41.838198,2732,2871,139,5603,60616,5.82352941176471,67.1764705882353,33.9203696830251,42,1434.49586474889,0
"ch34",-87.634429,41.926756,9021,9338,317,18359,60614,5.82352941176471,67.2352941176471,286.232860445752,17,1540.9713296273,0
"ch340",-87.643118,41.929546,14623,14643,20,29266,60614,5.82352941176471,67.2352941176471,8.21235234304841,216,902.73040173903,0
"ch341",-87.607267,41.866095,21552,21481,-71,43033,60605,5.61111111111111,64.7222222222222,250.475807347744,2,1610.84570987712,0
"ch342",-87.673688,41.871262,8416,7892,-524,16308,60612,5.82352941176471,67.1176470588235,67.3357683897606,12,346.675460757768,4
"ch343",-87.658971,41.928887,5580,5143,-437,10723,60613,5.82352941176471,67.1176470588235,49.7288593997061,71,645.760506195694,0
"ch344",-87.674237,41.96909,12750,13521,771,26271,60640,5.26666666666667,61.2666666666667,51.9233800166055,53,479.736338005446,2
"ch345",-87.587782,41.793242,4864,4887,23,9751,NA,5.65194094747947,65.2719986419663,176.911881798953,25,2078.69310102854,0
"ch346",-87.661206,41.88283,8480,8705,225,17185,60622,6.125,69.9375,129.965244675468,71,549.720080404209,0
"ch347",-87.6687,41.950687,4667,4339,-328,9006,60613,5.82352941176471,67.1176470588235,10.7822214376956,75,638.685020287759,0
"ch348",-87.695445,41.854016,803,971,168,1774,60608,5.33333333333333,62.3333333333333,27.2178396321603,52,56.6690838253208,2
"ch349",-87.649077,41.929143,10422,9842,-580,20264,60614,5.82352941176471,67.2352941176471,12.4727919956984,199,521.506380895448,0
"ch35",-87.612043,41.892278,90042,99495,9453,189537,60601,5.94736842105263,68.2105263157895,44.2574876241611,114,1327.77297384984,0
"ch350",-87.667747,41.895966,6402,6466,64,12868,60625,5.25,62,29.9983989919482,99,827.245309749421,0
"ch351",-87.606615,41.803038,557,506,-51,1063,90615,5.53333333333333,63,19.6707130683679,7,1224.54733456979,0
"ch352",-87.577143,41.773518,571,562,-9,1133,60619,5.35714285714286,62.5714285714286,68.5849560166231,1,2503.59146158708,0
"ch353",-87.674367,42.01256,556,576,20,1132,60645,5.375,63.6875,9.99318350792964,78,571.468754067751,0
"ch354",-87.662412,42.010587,1869,1991,122,3860,60645,5.375,63.6875,178.46237395987,43,380.782714227659,2
"ch355",-87.567339,41.773669,779,800,21,1579,60619,5.35714285714286,62.5714285714286,525.910662061309,0,3286.18893187611,0
"ch356",-87.586461,41.766493,325,314,-11,639,60649,5.21428571428571,60.7142857142857,19.1547906111232,16,2226.08486568966,0
"ch359",-87.643353,41.903486,8171,7616,-555,15787,60610,5.625,63.9375,258.395895879704,22,839.199254311845,0
"ch36",-87.635321,41.877708,24758,21944,-2814,46702,60602,5.94736842105263,68.2105263157895,33.4257942217351,399,173.010550078616,4
"ch364",-87.642985,41.900219,7463,7829,366,15292,60610,5.625,63.9375,162.659716876424,49,1072.95590539171,0
"ch365",-87.64848,41.899368,2280,2149,-131,4429,60622,6.125,69.9375,55.1925566114313,20,667.867407170027,0
"ch366",-87.657435,41.841633,1057,917,-140,1974,60608,5.33333333333333,62.3333333333333,37.0681660544371,12,706.807918094273,0
"ch367",-87.655976,41.830696,602,644,42,1246,60620,5.64285714285714,64.7857142857143,14.002476131914,13,1225.28900337448,0
"ch368",-87.66561,41.839209,435,410,-25,845,60609,5.3125,61.0625,215.780017568606,17,24.49418499592,2
"ch369",-87.670298,41.830105,275,266,-9,541,60620,5.64285714285714,64.7857142857143,205.317692659184,22,861.685378621402,0
"ch37",-87.629791,41.879356,16798,15464,-1334,32262,60602,5.94736842105263,68.2105263157895,27.7678769804652,653,136.611822219037,20
"ch370",-87.619154,41.854184,3558,3671,113,7229,60616,5.82352941176471,67.1764705882353,128.958526574303,56,613.476114511416,0
"ch372",-87.702882,41.900146,1743,1829,86,3572,60622,6.125,69.9375,289.280180705785,4,1778.56584932362,0
"ch373",-87.706128,41.895465,848,1019,171,1867,60622,6.125,69.9375,32.3214725544143,16,1237.77887930044,0
"ch374",-87.686596,41.898418,5121,5078,-43,10199,60622,6.125,69.9375,35.1893349700915,54,1469.72907662696,0
"ch375",-87.70103,41.889727,237,209,-28,446,60622,6.125,69.9375,255.594234354017,6,735.847837175185,0
"ch376",-87.688219,41.889492,5604,4097,-1507,9701,60622,6.125,69.9375,32.7044279467212,6,1556.65323271169,0
"ch377",-87.706304,41.884603,1084,1120,36,2204,60622,6.125,69.9375,171.138832517117,13,33.6751270435725,2
"ch378",-87.696298,41.884454,735,714,-21,1449,60622,6.125,69.9375,34.7058210933832,12,818.269888981886,0
"ch38",-87.630876,41.886021,14770,14391,-379,29161,60602,5.94736842105263,68.2105263157895,28.0071654661731,732,31.5551006910512,12
"ch381",-87.686113,41.879788,904,1096,192,2000,60612,5.82352941176471,67.1176470588235,94.2183616557595,22,516.093288938354,0
"ch382",-87.686445,41.874749,1668,1626,-42,3294,60612,5.82352941176471,67.1176470588235,48.335478386173,16,184.046376592629,2
"ch383",-87.667246,41.874291,5716,5713,-3,11429,60607,5.33333333333333,62.2777777777778,23.2950906370627,22,358.56671155034,2
"ch384",-87.645214,41.801832,26,21,-5,47,60609,5.3125,61.0625,32.3287010648251,7,1515.06900371536,0
"ch385",-87.633124,41.794982,270,253,-17,523,60621,6.125,69.9375,80.7843767495931,15,1230.04921404438,0
"ch386",-87.64499,41.79293,30,33,3,63,60621,6.125,69.9375,159.305892620057,17,1554.7611316113,0
"ch388",-87.644621,41.779381,120,118,-2,238,60621,6.125,69.9375,31.1678222385877,26,57.8705603286517,2
"ch39",-87.625689,41.879472,11615,11650,35,23265,60601,5.94736842105263,68.2105263157895,22.183778801357,453,29.1468129092844,12
"ch390",-87.629746,41.78008,125,75,-50,200,60621,6.125,69.9375,3.39945186151483,2,112.327322061634,2
"ch391",-87.644614,41.769062,15,24,9,39,60621,6.125,69.9375,35.4186375773869,15,1097.90284403231,0
"ch392",-87.628196,41.769293,77,74,-3,151,60621,6.125,69.9375,116.034430804746,6,229.842334050525,2
"ch393",-87.616918,41.765508,34,35,1,69,60619,5.35714285714286,62.5714285714286,135.154205754544,25,798.12943153317,0
"ch394",-87.631246,41.870816,4447,4376,-71,8823,60605,5.61111111111111,64.7222222222222,155.198330057231,77,475.336967006949,4
"ch395",-87.575839,41.75712,118,107,-11,225,60649,5.21428571428571,60.7142857142857,54.9909133745228,8,3586.58569416963,0
"ch396",-87.56644,41.758768,84,85,1,169,60619,5.35714285714286,62.5714285714286,16.3540175919771,8,4057.84747493091,0
"ch397",-87.560115,41.758746,119,102,-17,221,NA,5.65194094747947,65.2719986419663,42.6305476097454,7,4494.6405239415,0
"ch398",-87.549386,41.757871,88,96,8,184,NA,5.65194094747947,65.2719986419663,714.725111442635,0,5315.91781149761,0
"ch399",-87.559275,41.762189,394,407,13,801,60619,5.35714285714286,62.5714285714286,245.328668662106,6,4364.82334539627,0
"ch4",-87.613348,41.856268,19906,20290,384,40196,60616,5.82352941176471,67.1764705882353,574.57336027932,0,1139.15754679878,0
"ch40",-87.631985,41.879344,10771,10268,-503,21039,60602,5.94736842105263,68.2105263157895,28.4278190650828,612,161.182132087626,20
"ch400",-87.60496,41.765719,196,194,-2,390,60619,5.35714285714286,62.5714285714286,51.8909352022466,7,1622.21024900085,0
"ch401",-87.635491,41.842733,1261,1240,-21,2501,60616,5.82352941176471,67.1764705882353,308.420832972987,14,1222.38300867612,0
